Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-11-20,Ath Bilbao,Alaves,0.0,2.0,A,0.0,1.0,A,1,18.0,11.0,5.0,7.0,20.0,18.0,11.0,1.0,3.0,3.0,0.0,0.0,05-06,12
2005-11-26,Valencia,Celta,2.0,0.0,H,0.0,0.0,D,1,15.0,11.0,7.0,3.0,16.0,16.0,9.0,6.0,1.0,2.0,0.0,0.0,05-06,13
2005-11-26,Mallorca,Ath Bilbao,0.0,1.0,A,0.0,0.0,D,1,12.0,6.0,4.0,1.0,22.0,21.0,4.0,3.0,1.0,3.0,0.0,0.0,05-06,13
2005-11-27,Ath Madrid,Espanol,1.0,1.0,D,1.0,1.0,D,1,16.0,19.0,5.0,7.0,22.0,22.0,5.0,7.0,4.0,4.0,0.0,0.0,05-06,13
2005-11-27,Barcelona,Santander,4.0,1.0,H,1.0,0.0,H,1,25.0,3.0,7.0,1.0,13.0,30.0,8.0,0.0,1.0,2.0,0.0,1.0,05-06,13
2005-11-27,Betis,Cadiz,1.0,1.0,D,1.0,0.0,H,1,12.0,14.0,5.0,5.0,18.0,8.0,4.0,5.0,4.0,2.0,1.0,0.0,05-06,13
2005-11-27,Getafe,Malaga,3.0,2.0,H,2.0,1.0,H,1,17.0,10.0,6.0,4.0,16.0,30.0,9.0,8.0,0.0,2.0,0.0,0.0,05-06,13
2005-11-27,La Coruna,Villarreal,0.0,2.0,A,0.0,0.0,D,1,17.0,17.0,3.0,10.0,32.0,22.0,7.0,6.0,4.0,2.0,0.0,0.0,05-06,13
2005-11-27,Osasuna,Alaves,3.0,2.0,H,0.0,0.0,D,1,15.0,7.0,7.0,5.0,26.0,21.0,9.0,1.0,1.0,2.0,0.0,0.0,05-06,13
2005-11-27,Sociedad,Real Madrid,2.0,2.0,D,1.0,0.0,H,1,11.0,20.0,5.0,10.0,27.0,15.0,4.0,5.0,4.0,5.0,1.0,1.0,05-06,13
2005-11-27,Zaragoza,Sevilla,0.0,2.0,A,0.0,0.0,D,1,15.0,17.0,2.0,8.0,19.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,05-06,13
2005-12-03,Real Madrid,Getafe,1.0,0.0,H,1.0,0.0,H,1,6.0,19.0,1.0,4.0,17.0,24.0,3.0,13.0,3.0,3.0,1.0,0.0,05-06,14
2005-12-03,Celta,Betis,2.0,1.0,H,2.0,0.0,H,1,9.0,23.0,4.0,4.0,29.0,21.0,5.0,11.0,5.0,4.0,0.0,1.0,05-06,14
2005-12-03,Ath Bilbao,Ath Madrid,1.0,1.0,D,0.0,1.0,A,1,14.0,6.0,3.0,1.0,14.0,23.0,9.0,3.0,4.0,3.0,0.0,0.0,05-06,14
2005-12-04,Malaga,Osasuna,1.0,2.0,A,1.0,2.0,A,1,9.0,11.0,2.0,4.0,26.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,05-06,14
2005-12-04,Alaves,Mallorca,0.0,3.0,A,0.0,1.0,A,1,18.0,13.0,3.0,10.0,15.0,24.0,10.0,5.0,4.0,4.0,0.0,0.0,05-06,14
2005-12-04,Cadiz,Zaragoza,1.0,2.0,A,1.0,0.0,H,1,4.0,6.0,1.0,2.0,15.0,20.0,3.0,4.0,2.0,4.0,0.0,0.0,05-06,14
2005-12-04,Espanol,Valencia,1.0,3.0,A,0.0,2.0,A,1,15.0,18.0,2.0,9.0,23.0,15.0,4.0,4.0,3.0,2.0,0.0,1.0,05-06,14
2005-12-04,Santander,Sociedad,2.0,2.0,D,0.0,1.0,A,1,14.0,17.0,4.0,9.0,24.0,17.0,4.0,3.0,3.0,5.0,0.0,1.0,05-06,14
2005-12-04,Sevilla,La Coruna,0.0,2.0,A,0.0,2.0,A,1,13.0,11.0,3.0,6.0,26.0,15.0,12.0,6.0,7.0,6.0,2.0,0.0,05-06,14
2005-12-04,Villarreal,Barcelona,0.0,2.0,A,0.0,1.0,A,1,6.0,11.0,1.0,4.0,19.0,24.0,5.0,5.0,2.0,4.0,0.0,1.0,05-06,14
2005-12-10,Sociedad,Villarreal,1.0,3.0,A,1.0,1.0,D,1,16.0,14.0,6.0,8.0,15.0,17.0,5.0,1.0,1.0,2.0,0.0,0.0,05-06,15
